fam,pid,addr,size,lvl,id,lbl,def,unit,min_max,descr,fmt,rw,opt
sys,0.1.19,6006,2,ViewOnly,12,Reactive power,0,VAR,-,Reactive power measured.,float,R,-
sys,0.1.19,6008,2,ViewOnly,16,Apparent power,0,VA,-,Apparent power measured.,float,R,-
sys,0.1.19,6010,2,ViewOnly,20,Power factor,0,,-,Power factor measured.,float,R,-
sys,0.1.19,6012,2,ViewOnly,24,Day peak power,0,VA,-,Peak power of the current day.,float,R,-
sys,0.1.19,6014,2,ViewOnly,25,Previous day peak power,0,VA,-,Peak power of the previous day.,float,R,-
sys,0.1.19,6016,2,ViewOnly,26,Day minimum active power,0,W,-,Minimum active power of the current day.,float,R,-
sys,0.1.19,6018,2,ViewOnly,27,Previous day minimum active power,0,W,-,Minimum active power of the previous day.,float,R,-
sys,0.1.19,6020,2,ViewOnly,28,Day maximum active power,0,W,-,Maximum active power of the current day.,float,R,-
sys,0.1.19,6022,2,ViewOnly,29,Previous day maximum active power,0,W,-,Maximum active power of the previous day.,float,R,-
sys,0.1.19,6028,2,ViewOnly,32,Day consumed energy,0,Wh,-,Consumed energy of the current day.,float,R,-
sys,0.1.19,6030,2,ViewOnly,33,Previous day consumed energy,0,Wh,-,Consumed energy of the previous day.,float,R,-
sys,0.1.19,6032,4,ViewOnly,34,Resetable consumed energy,0,Wh,-,Resetable consumed energy.,float64,R/W,-
sys,0.1.19,6036,4,ViewOnly,35,Total consumed energy,0,Wh,-,Total consumed energy.,float64,R,-
sys,0.1.19,6040,2,ViewOnly,36,Day produced energy,0,Wh,-,Produced energy of the current day.,float,R,-
sys,0.1.19,6042,2,ViewOnly,37,Previous day produced energy,0,Wh,-,Produced energy of the previous day.,float,R,-
sys,0.1.19,6044,4,ViewOnly,38,Resetable produced energy,0,Wh,-,Resetable produced energy.,float64,R/W,-
sys,0.1.19,6048,4,ViewOnly,39,Total produced energy,0,Wh,-,Total produced energy.,float64,R,-
,,,,,,,,,,,,,
sys,0.1.20,6300,2,ViewOnly,0,Frequency,0,Hz,-,Frequency measured.,float,R,-
sys,0.1.20,6302,2,ViewOnly,4,Line voltage L1-L2,0,V,-,Line voltage L1-L2 measured.,float,R,-
sys,0.1.20,6304,2,ViewOnly,8,Line voltage L2-L3,0,V,-,Line voltage L2-L3 measured.,float,R,-
sys,0.1.20,6306,2,ViewOnly,12,Line voltage L3-L1,0,V,-,Line voltage L3-L1 measured.,float,R,-
